,t (mm),d (mm),fy (MPa),E (MPa),Mu (kN⋅m)
236,0.76,131,304,209.573,1.6
237,0.76,315,302,209.757,175.9
238,9.43,521,367,199.642,1342.3
239,7.98,513,334,198.943,1500.5
240,6.69,452,408,199.95,1145.1
241,3.58,139,290,210.0,234.1
242,23.25,553,413,198.943,1059.7
243,6.17,254,276,210.0,166.8
244,10.43,607,418,199.218,1287.8
245,10.45,503,356,199.435,1139.2
246,14.25,610,377,198.943,1057.3
247,14.86,490,357,199.654,1400.3
248,12.54,574,299,198.943,970.1
249,2.61,186,260,209.239,214.7
250,2.94,92,377,208.957,144.3
251,17.12,553,356,199.581,743.4
252,17.94,610,428,198.943,1056.0
253,15.16,468,352,199.804,424.1
254,3.53,101,253,209.121,91.9
255,7.68,383,287,210.0,26.0
256,12.03,444,292,200.125,147.8
257,10.43,512,434,199.467,1316.8
258,3.6,532,338,200.665,685.3
259,5.91,326,258,209.084,86.0
260,2.48,151,285,210.0,1.6
261,5.11,456,434,200.622,858.5
262,4.49,610,340,198.943,1087.7
263,8.02,494,405,200.06,1055.3
264,12.85,497,333,200.133,1291.3
265,12.38,138,245,209.552,178.8
266,13.12,521,385,201.118,1425.8
267,11.83,254,285,209.576,262.8
268,13.33,557,347,200.097,1052.5
269,19.58,410,379,200.016,514.4
270,1.33,255,311,210.0,1.6
271,1.89,186,351,209.474,108.7
272,14.88,577,314,199.224,1445.6
273,13.41,584,354,198.943,1071.6
274,10.8,222,250,210.0,184.7
275,22.97,511,366,208.875,1325.7
276,9.77,433,300,209.173,128.5
277,6.41,185,251,209.852,176.3
278,3.91,532,350,200.401,1396.0
279,0.76,251,295,210.0,1.6
280,20.35,610,415,199.049,907.8
281,1.53,134,245,210.0,122.6
282,3.56,368,245,209.438,136.9
283,0.76,154,267,210.0,107.8
284,2.68,89,275,209.501,1.6
285,3.65,378,245,209.448,159.3
286,6.58,176,286,209.734,146.8
287,4.94,188,248,208.893,166.5
288,7.39,483,282,209.876,1153.3
289,4.23,396,373,209.936,220.0
290,6.61,538,404,198.943,1151.5
291,4.11,89,285,209.345,285.5
292,2.64,330,276,208.837,29.2
293,13.04,521,379,200.25,1133.9
294,6.75,420,288,209.728,234.3
295,6.29,151,259,210.0,89.5
296,4.39,411,356,198.943,847.1
297,8.12,282,299,209.943,129.0
298,18.94,542,393,199.259,1032.8
299,15.09,610,430,199.967,1097.6
300,15.91,442,361,199.213,937.0
301,22.37,502,392,199.111,1315.2
302,5.28,451,245,208.884,3.7
303,6.48,610,385,199.429,848.5
304,4.54,377,303,210.0,128.6
305,15.25,432,400,200.955,1492.5
306,7.29,271,345,209.924,268.1
307,7.58,108,257,209.191,187.0
308,0.76,89,296,209.177,1.6
309,0.76,190,301,209.525,49.0
310,13.52,610,410,198.943,1487.3
311,21.37,513,414,200.19,391.3
312,7.13,488,330,200.65,992.1
313,10.78,385,255,209.468,306.1
314,10.6,525,324,199.034,1069.8
315,9.44,225,415,201.873,1001.6
316,1.56,89,245,209.752,104.1
317,11.96,105,289,208.929,169.3
318,17.35,606,347,199.223,1764.9
319,11.17,468,331,199.834,857.9
320,20.78,486,338,199.869,1306.0
321,9.12,610,378,200.481,500.8
322,2.04,157,314,209.86,1.6
323,13.02,413,337,200.226,817.1
324,6.34,173,275,209.875,200.4
325,0.76,265,361,210.0,1.6
326,14.29,489,337,199.795,1640.0
327,16.79,552,387,199.32,1461.1
328,0.76,89,245,210.0,1.6
329,12.48,533,351,198.943,724.8
330,2.78,89,278,209.518,111.3
331,24.6,610,411,199.533,794.3
332,17.71,405,339,209.956,354.4
333,8.06,591,376,198.943,1401.7
334,8.54,576,395,199.317,1296.6
335,26.6,603,429,199.709,1892.7
336,16.18,435,399,209.782,225.9
337,2.06,232,293,210.0,160.7
338,9.51,572,379,200.341,1252.8
339,0.76,207,279,209.574,1.6
340,7.48,89,274,209.621,57.4
341,4.41,306,313,210.0,532.3
342,9.8,472,317,199.695,1141.3
343,6.08,481,332,200.182,1387.4
344,0.76,111,292,209.687,1.6
345,15.14,478,386,198.943,257.3
346,6.05,222,388,209.694,303.3
347,15.35,479,377,198.943,1492.8
348,3.15,165,297,209.755,282.6
349,0.76,154,315,209.844,1.6
350,3.95,137,280,209.664,144.0
351,4.19,202,415,209.261,1.6
352,18.19,543,354,199.158,595.7
353,21.42,585,402,199.428,1529.3
354,8.43,610,350,199.818,1534.2
355,9.02,450,388,200.202,1348.5
356,4.05,610,392,199.162,1210.5
357,14.66,351,360,199.407,1358.5
358,3.78,144,326,210.0,252.0
359,0.76,98,303,210.0,1.6
360,1.95,229,281,210.0,148.7
361,0.76,157,258,209.865,1.6
362,0.76,235,314,210.0,67.0
363,6.45,113,357,210.0,312.2
364,5.84,184,365,210.0,321.5
365,2.51,402,245,209.145,172.9
366,17.75,518,303,199.174,1133.1
367,7.05,478,401,199.509,1063.2
368,1.6,221,294,209.575,63.1
369,9.06,488,419,209.464,1353.2
370,0.76,89,255,209.046,1.6
371,7.68,456,328,200.137,981.0
372,14.51,484,365,199.832,712.6
373,3.39,163,275,210.0,1.6
374,14.58,285,408,199.729,632.2
375,4.92,186,284,209.779,1.6
376,1.14,252,308,210.0,137.1
377,9.03,243,315,210.0,228.3
378,23.45,502,420,199.942,1230.0
379,3.69,259,307,210.0,234.0
380,17.63,380,292,199.634,1506.2
381,5.19,440,282,209.846,261.0
382,17.07,89,331,209.416,33.9
383,15.24,362,387,200.77,1268.0
384,15.08,460,274,200.426,1501.8
385,0.76,238,307,209.443,174.7
386,16.84,544,333,199.002,1383.7
387,20.15,423,268,199.98,1124.2
388,7.36,610,369,198.943,999.2
389,3.58,95,270,209.555,1.6
390,1.9,129,270,209.012,13.2
391,25.57,453,333,200.581,1098.7
392,15.62,351,304,208.976,1770.0
393,16.64,527,325,199.329,1304.1
394,20.77,566,394,199.637,1725.8
395,20.05,473,373,209.22,1148.7
396,4.25,420,327,209.295,930.7
397,4.36,89,277,209.746,42.0
398,16.02,581,393,199.609,1383.3
399,2.14,134,298,209.317,359.6
400,8.05,311,335,209.897,136.5
401,10.89,407,338,199.7,1471.9
402,3.34,135,298,210.0,93.0
403,14.41,326,249,199.461,1243.3
404,4.83,599,356,199.445,1250.8
405,0.76,225,293,210.0,1.6
406,8.79,559,363,199.294,1322.1
407,13.43,343,285,209.673,1.6
408,0.76,294,326,209.636,1.6
409,1.72,207,290,209.661,60.9
410,26.25,408,397,200.023,226.1
411,19.24,403,303,199.763,1372.6
412,8.58,435,392,208.973,1421.4
413,5.98,250,398,209.988,183.1
414,9.37,531,334,198.943,570.3
415,16.97,610,429,199.099,1698.3
416,12.68,592,377,200.518,1557.6
417,15.36,439,331,200.491,1428.8
418,13.62,399,260,199.385,681.2
419,5.67,471,385,199.244,1189.5
420,12.28,160,335,209.498,172.9
421,2.17,131,280,208.902,106.6
422,20.3,571,337,198.943,1524.9
423,12.37,535,314,200.307,1170.0
424,1.56,167,286,209.473,26.4
425,15.25,546,345,199.918,1343.4
426,20.41,507,369,199.649,943.7
427,3.07,312,316,209.222,1.6
428,13.13,461,351,200.402,836.2
429,0.76,110,288,210.0,6.6
430,22.66,489,350,200.53,1129.2
431,6.35,390,383,209.672,785.7
432,6.49,98,296,209.556,266.6
433,19.76,583,344,199.445,538.5
434,5.21,536,369,209.757,947.7
435,18.9,610,404,198.943,1518.1
436,9.71,597,365,199.671,734.4
437,4.54,142,249,209.291,309.5
438,5.01,227,270,208.976,148.2
439,12.3,604,395,200.066,1351.9
440,20.15,555,398,199.469,1315.6
441,21.76,372,347,199.782,381.9
442,9.05,471,409,209.379,1347.2
443,2.42,112,250,209.968,124.7
444,2.75,239,304,210.0,72.3
445,1.79,166,251,209.721,1.6
446,9.83,466,304,198.943,1090.2
447,6.03,147,292,209.202,107.1
448,4.72,159,318,210.0,1.6
449,12.56,325,245,209.835,334.2
450,20.38,520,411,200.433,1259.3
451,6.84,559,367,199.558,637.0
452,11.43,610,413,198.943,1487.5
453,19.38,581,410,200.33,1413.6
454,21.48,521,427,199.224,895.5
455,5.7,601,340,199.469,1359.7
456,1.58,264,252,209.875,97.7
457,2.9,157,276,209.849,319.9
458,0.76,99,274,210.0,79.6
459,18.6,470,343,198.943,1461.2
460,7.21,376,403,209.333,41.7
461,11.25,512,312,200.289,1334.8
462,8.89,369,350,200.25,224.2
463,17.74,468,408,199.144,1526.9
464,24.36,507,347,199.222,1508.0
465,1.98,193,303,209.748,63.2
466,12.45,365,397,209.55,1.6
467,15.69,489,249,200.889,287.2
468,7.21,89,245,209.381,113.0
469,19.76,460,363,200.526,1240.3
470,8.02,561,412,200.313,734.8
471,7.37,559,413,199.709,1785.5
472,0.76,166,375,209.98,1.6
473,8.61,521,398,208.765,1136.9
474,4.11,141,298,209.5,1.6
475,4.37,109,326,210.0,58.3
476,0.76,100,317,210.0,1.6
477,2.22,172,277,210.0,1.6
478,14.69,610,346,200.76,622.5
479,0.76,89,273,209.192,1.6
480,14.8,435,309,209.639,336.9
481,5.22,534,317,208.971,1.6
482,6.12,244,287,209.329,383.3
483,16.12,543,327,199.079,913.2
484,9.84,441,294,199.467,1225.9
485,9.53,461,314,199.436,910.6
486,22.51,574,434,199.759,1391.7
487,15.97,610,415,198.998,1117.4
488,1.88,208,304,209.267,115.7
489,15.94,530,379,199.573,1643.3
490,5.59,89,245,209.716,1.6
491,16.99,175,364,209.716,801.4
492,15.29,507,364,200.695,1311.2
493,5.43,232,328,210.0,1.6
494,22.66,588,296,198.943,1892.7
495,8.8,415,246,200.218,302.9
496,14.95,610,364,198.943,788.6
497,9.42,573,385,200.15,1892.7
498,1.54,132,311,209.531,113.9
499,9.89,404,323,199.017,1287.0
500,4.23,281,303,209.342,256.7
501,0.76,216,317,209.496,1.6
502,4.86,218,271,210.0,327.5
503,6.88,380,383,200.331,190.8
504,0.76,89,283,209.958,1.6
505,5.56,264,357,210.0,196.1
506,0.78,209,295,209.733,132.9
507,6.41,600,411,199.436,574.3
508,24.01,506,313,199.015,1231.5
509,19.38,524,335,209.104,234.2
510,7.89,610,406,199.088,1344.8
511,13.98,448,432,199.832,1022.3
512,6.13,89,245,210.0,1.6
513,18.46,449,382,200.524,660.1
514,3.43,184,249,209.891,57.0
515,12.93,330,329,210.0,1.6
516,17.63,420,355,200.066,763.4
517,21.0,489,402,200.103,1308.9
518,0.76,89,313,208.781,1.6
519,15.09,602,338,198.943,786.9
520,3.62,376,302,209.2,1.6
521,5.92,322,254,200.411,101.6
522,13.73,480,348,198.943,1069.5
523,13.45,610,434,198.943,1110.6
524,20.01,401,297,209.876,184.0
525,23.06,530,322,198.944,565.3
526,9.82,410,419,210.0,221.3
527,0.76,192,259,209.673,123.5
528,19.87,559,420,199.409,901.3
529,6.1,127,369,210.0,341.2
530,16.52,485,384,198.943,1359.8
531,16.78,311,360,198.943,723.8
532,16.28,372,313,209.154,218.1
533,2.94,289,269,208.574,41.1
534,1.1,129,287,210.0,128.7
535,8.52,512,312,199.633,909.6
536,13.36,409,275,209.121,254.5
537,17.46,520,334,198.951,1351.8
538,10.18,397,382,208.88,102.0
539,4.53,344,329,209.076,68.0
540,17.95,586,345,200.251,1070.5
541,0.76,89,360,209.965,133.9
542,6.79,198,289,209.515,224.7
543,0.76,236,351,209.675,1.6
544,2.34,137,302,208.896,272.1
545,3.29,187,305,209.224,38.3
546,9.5,610,383,198.943,1314.5
547,2.43,93,297,209.63,13.9
548,9.3,475,359,209.693,1641.1
549,1.8,100,366,209.087,238.4
550,0.76,264,273,210.0,146.0
551,24.14,573,345,198.943,1435.8
552,6.87,411,316,209.16,487.1
553,5.22,503,357,209.846,328.5
554,0.76,89,253,209.512,131.7
555,0.76,213,289,208.845,85.9
556,14.43,525,378,200.788,1602.3
557,2.04,165,278,209.706,1.6
558,17.35,434,315,209.145,252.1
559,2.03,179,310,210.0,32.8
560,5.53,117,248,209.017,1.6
561,11.39,511,362,199.574,653.6
562,5.39,363,317,209.367,49.9
563,10.19,610,333,199.099,1122.6
564,13.8,461,341,199.408,768.0
565,0.89,176,280,209.634,282.2
566,19.22,610,344,199.067,1435.3
567,4.16,89,245,209.146,157.6
568,15.02,353,321,199.823,1314.8
569,2.98,242,300,210.0,117.8
570,26.6,610,412,201.91,1385.2
571,5.11,342,260,209.847,215.0
572,12.42,562,315,198.943,1429.2
573,9.25,89,265,210.0,1.6
574,11.91,341,270,210.0,189.2
575,17.22,610,343,198.943,1016.7
576,2.08,196,265,209.881,128.7
577,16.06,443,329,199.406,1677.3
578,4.46,132,289,210.0,17.0
579,6.7,228,300,209.48,74.9
580,0.76,152,267,209.047,1.6
581,18.51,506,374,199.379,939.6
582,6.28,272,307,209.933,258.6
583,5.5,141,352,208.874,1.6
584,17.94,515,369,198.943,1439.1
585,14.57,479,343,199.776,976.8
586,17.69,497,344,199.924,1496.2
587,13.88,435,364,198.943,1379.7
588,20.21,486,370,199.266,1384.9
589,10.66,186,306,209.322,290.2
590,8.47,444,394,199.152,685.1
591,19.98,500,332,199.337,1642.7
592,4.25,402,245,208.812,657.5
593,20.76,587,424,200.166,992.5
594,7.49,89,302,209.869,1.6
595,10.22,385,258,210.0,13.3
596,14.61,599,359,199.216,1742.0
597,6.93,348,294,209.807,154.8
598,4.23,233,276,210.0,1.6
599,17.37,482,346,200.679,1042.1
600,4.28,89,255,209.751,1.6
601,5.98,441,325,210.0,336.2
602,7.8,459,333,199.683,1293.4
603,2.85,283,276,209.706,1.6
604,0.76,314,290,209.619,183.4
605,25.53,545,431,199.295,1219.5
606,3.47,303,291,209.307,327.3
607,11.26,537,324,200.169,1572.0
608,23.43,503,370,199.622,1323.7
609,1.5,92,289,210.0,141.3
610,21.68,484,351,200.067,874.3
611,0.95,89,283,209.072,52.6
612,8.14,610,408,199.847,1346.9
613,15.63,432,345,209.786,343.0
614,10.29,429,286,199.716,226.4
615,16.41,416,347,201.352,121.9
616,3.8,231,343,210.0,1.6
617,20.71,563,385,199.326,1040.0
618,14.25,158,308,209.88,143.7
619,0.76,142,273,209.513,1.6
620,1.59,137,273,209.198,1.6
621,22.18,369,293,200.03,1002.2
622,10.97,491,350,199.658,1033.1
623,0.76,190,274,210.0,1.6
624,7.74,603,347,198.943,682.0
625,0.79,101,304,209.203,1.6
626,11.77,610,366,199.82,897.4
627,14.58,475,363,199.954,1196.3
628,9.24,409,335,198.943,1157.1
629,14.8,549,368,199.854,935.5
630,4.55,89,277,209.392,357.9
631,5.42,459,331,210.0,1.6
632,16.33,525,343,199.071,1291.9
633,3.83,413,267,209.573,215.1
634,0.76,179,305,210.0,262.9
635,19.07,582,385,199.51,957.3
636,5.14,111,298,209.996,34.4
637,15.56,474,271,199.937,854.6
638,9.23,562,392,200.543,1448.8
639,16.08,503,398,209.509,424.4
640,6.09,435,403,199.579,638.9
641,9.27,466,247,209.812,277.7
642,1.78,157,325,209.09,1.6
643,19.05,482,348,198.943,1219.8
644,5.98,388,305,209.617,375.4
645,18.32,431,302,198.943,1201.2
646,3.79,132,406,209.322,82.3
647,7.09,425,383,209.384,20.9
648,7.6,516,434,209.957,228.4
649,12.64,461,357,199.26,1289.7
650,6.08,117,263,209.85,82.0
651,20.47,564,427,199.309,1046.4
652,0.76,213,299,209.473,1.6
653,1.82,89,267,209.734,198.2
654,13.97,473,356,198.943,1197.8
655,5.94,454,400,199.023,113.8
656,15.21,610,347,199.476,1316.1
657,2.77,174,298,209.79,1.6
658,14.11,610,364,199.576,965.3
659,24.44,457,383,199.354,947.6
660,14.11,589,368,199.159,1062.2
661,14.21,478,398,199.446,1221.7
662,5.32,461,324,209.939,147.6
663,20.15,538,365,199.625,381.5
664,10.14,457,346,199.521,1468.9
665,6.62,408,340,199.204,813.0
666,5.36,131,255,210.0,285.3
667,5.56,565,307,198.943,1157.7
668,2.33,109,287,209.024,15.1
669,5.36,200,260,209.88,258.2
670,11.25,599,426,209.72,259.1
671,17.63,508,357,200.624,1258.7
672,12.27,436,300,209.534,198.6
673,4.46,191,272,209.935,1.6
674,15.25,494,280,200.34,1131.1
675,12.91,243,391,209.612,208.9
676,16.38,591,414,199.926,458.9
677,15.62,550,402,200.118,288.9
678,10.85,413,388,199.548,1117.4
679,8.92,152,245,210.0,85.1
680,2.94,89,317,209.915,208.5
681,14.87,515,378,199.342,1493.1
682,5.42,267,408,209.682,269.7
683,0.76,193,265,210.0,9.3
684,25.69,495,256,200.551,387.3
685,13.27,567,277,209.291,322.9
686,5.77,514,380,209.987,67.6
687,8.33,559,367,199.43,1086.9
688,13.56,428,326,199.677,1139.7
689,19.54,592,344,200.62,1084.8
690,10.42,491,330,199.614,1192.2
691,0.76,127,269,209.95,172.0
692,0.76,190,245,208.991,75.4
693,4.74,118,284,209.885,216.6
694,6.39,443,352,199.63,970.6
695,5.44,153,331,209.482,170.4
696,12.94,427,322,209.188,152.5
697,15.58,318,367,209.956,95.5
698,16.25,450,326,198.943,925.8
699,9.23,201,268,209.956,180.8
700,13.34,292,245,210.0,31.9
701,5.43,234,386,209.457,285.8
702,9.19,474,373,200.933,865.8
703,2.35,290,283,209.862,372.2
704,7.41,236,273,209.529,224.0
705,14.65,405,399,209.803,332.3
706,14.63,417,378,198.943,468.9
707,14.87,511,344,198.943,1284.8
708,7.07,167,277,209.76,110.7
709,4.67,352,264,209.023,237.0
710,12.2,367,290,209.742,1.6
711,17.9,532,394,200.166,1054.5
712,14.38,488,414,198.943,1595.7
713,2.61,234,328,209.447,88.3
714,0.76,148,245,209.188,1.6
715,15.78,436,339,199.839,862.6
716,3.72,333,316,209.411,301.9
717,15.02,610,389,198.943,889.0
718,15.14,464,337,198.943,1613.3
719,10.79,455,324,198.943,1189.2
720,13.87,610,269,210.0,277.5
721,18.98,419,306,200.912,58.6
722,6.95,378,396,198.992,827.5
723,9.09,235,335,209.081,231.3
724,3.08,610,353,199.323,577.9
725,0.76,134,278,209.577,1.6
726,26.6,610,415,200.282,1892.7
727,1.67,151,316,209.952,1.6
728,10.13,433,284,210.0,33.8
729,11.42,273,322,210.0,130.0
730,8.78,462,362,209.783,1504.2
731,2.24,187,320,209.789,1.6
732,25.27,504,372,200.027,1263.5
733,16.63,601,361,200.3,1298.5
734,14.77,363,394,199.163,646.9
735,14.58,458,303,198.943,967.0
736,0.76,181,276,209.331,179.0
737,6.35,404,343,200.448,1167.1
738,9.26,610,368,198.943,1033.0
739,5.68,463,322,209.729,162.3
740,22.47,507,420,199.889,331.3
741,1.18,206,300,210.0,1.6
742,2.55,117,250,209.368,1.6
743,6.99,89,293,210.0,94.9
744,20.79,374,385,200.229,203.5
745,17.94,494,245,200.322,1386.5
746,3.2,130,365,210.0,207.0
747,24.54,560,377,199.233,1892.7
748,2.41,362,364,209.261,188.0
749,8.13,188,383,209.916,457.3
750,18.87,518,394,200.085,1590.0
751,11.67,610,399,199.441,874.7
752,12.69,610,352,198.943,847.6
753,5.36,89,351,210.0,1.6
754,18.49,398,316,199.283,1448.2
755,1.36,262,335,208.835,353.8
756,11.55,594,390,201.092,1640.1
757,14.68,494,251,198.943,968.2
758,19.49,472,246,199.329,439.6
759,13.03,439,265,209.005,374.2
760,5.48,425,388,210.0,793.8
