No, Yrs, pH, V, Res, H2O, BD, Cl, HCO3, SO4, Redox, Coat, Pit
38.0,22,5.02,-0.96,72,20.3,1.25,12.49,16.55,172.3,180,0.8,1.57
39.0,19,6.96,-1.07,65,30.3,1.28,15.89,11.97,168,220,0.8,1.57
40.0,29,5.35,-1.05,34.5,21.7,1.26,13.33,13.87,308.4,190,0.7,2.21
41.0,18,5.99,-0.99,123.1,13.4,1.3,6.62,5.55,60.47,189,0.8,1.17
42.0,20,6.11,-0.8,87.8,20.1,1.22,12.33,16.65,54.85,150,0.7,1.17
43.0,19,5.43,-1.1,149.2,20.4,1.2,17.09,11.1,61.99,299,1.0,1.57
44.0,20,5.57,-1.1,221,13.7,1.28,8.27,5.55,255.1,290,0.8,0.41
45.0,18,5.78,-1.1,65,21.6,1.25,17.09,17.74,53.56,133,0.8,1.04
46.0,15,5.93,-1.13,99.5,23.4,1.27,15.72,5.55,57.66,199,0.8,1.57
47.0,20,5.01,-0.81,43.6,25.3,1.19,27.75,5.55,27.81,74,0.8,2.74
48.0,15,6.48,-1.05,161.2,16.6,1.27,9.93,19.42,93.05,274,0.8,0.41
49.0,20,7.01,-0.98,15.1,34,1.19,14.06,11.1,184.3,85,0.8,1.04
50.0,15,6.84,-1.23,90.9,20.8,1.27,7.44,12.65,111.5,163,0.8,0.41
51.0,18,5.99,-0.94,104,13.4,1.3,9.72,5.55,66.47,189,0.8,0.92
52.0,20,6.01,-0.78,85.8,20.1,1.22,12.83,16.65,89.85,150,0.8,0.94
53.0,17,5.23,-1.02,139.2,20.4,1.2,17.86,11.1,128,209,0.8,0.91
54.0,20,5.7,-1.1,151,13.7,1.28,9.27,5.55,185.1,259,0.7,0.91
55.0,18,5.79,-1.1,65,21.6,1.25,17.94,15.74,148.6,233,0.8,0.94
56.0,16,5.56,-0.83,19.3,27,1.25,14.4,5.55,192.3,240,0.8,0.91
57.0,22,5.28,-0.77,17.6,23.9,1.25,19.06,8.32,158,339,0.7,1.01
58.0,15,4.69,-0.82,51.5,19.9,1.27,28.81,5.55,200.2,120,0.9,1.93
59.0,20,5.12,-1.03,11.6,29.1,1.28,26.81,5.55,159.5,101,0.9,2.08
60.0,13,5.02,-0.91,49,25.3,1.24,19.27,5.55,217.3,80,1.0,1.58
61.0,20,6.01,-0.69,22.6,25.3,1.22,82.99,5.55,109.3,225,0.8,2.5
62.0,24,6.12,-0.63,11.6,29.1,1.26,96.81,5.55,115.5,11,0.8,3.18
63.0,21,6.21,-0.71,45.8,12.8,1.26,32.13,11.1,84.17,113,0.8,1.31
64.0,27,5.3,-0.62,36.5,25.3,1.23,109.8,10.65,374.3,17.3,0.7,3.88
65.0,13,5.08,-0.54,35.2,23,1.22,102.4,16.48,260.4,45,0.8,2.65
66.0,28,5.16,-0.79,60,23.9,1.36,109.8,11.87,95.57,108,0.7,4.24
67.0,21,6.27,-0.99,55.2,16.4,1.28,8.82,12.93,93.58,106,0.8,1.17
68.0,13,7.11,-0.6,25,19.4,1.27,48.12,9.24,232.2,90,0.8,0.81
69.0,18,6.09,-0.86,20.6,19.9,1.28,18.27,22.19,126.6,242,0.8,0.94
70.0,6,5.03,-0.52,43,23.1,1.28,18.41,5.55,152.3,102,0.3,0.71
71.0,42,6.12,-0.47,7.8,36,1.2,105.5,28.68,455.9,110,0.7,8.56
72.0,42,6.13,-0.47,6.8,32.4,1.21,104,15.01,379.1,117,0.7,8.31
73.0,42,6.5,-0.47,10.4,31.3,1.2,128.5,28.99,288.2,98,0.7,8.41
74.0,42,7.09,-0.48,107.1,16.8,1.34,30.96,29.65,101.2,138,0.7,0.81
75.0,42,6.2,-0.49,10.3,38.9,1.22,56.14,33.47,146.8,98,0.7,8.26
76.0,42,7.79,-0.47,8.8,66,1.25,5.13,26.5,156.9,92,0.7,0.41
77.0,42,7.21,-0.49,8.1,30.3,1.3,22.17,19.55,256.7,92,0.7,1.6
78.0,42,7.79,-0.47,7.3,39.3,1.3,18.41,29.55,399.9,99,0.7,1.57
79.0,8,5.03,-0.42,6.3,23.7,1.22,49.17,8.32,16.28,130,1.0,6.45
80.0,8,5.08,-0.45,3.8,27.3,1.22,47.57,8.32,14.9,95,1.0,7.04
81.0,22,5.02,-1.67,6.1,36.7,1.13,40.17,5.55,26.12,139,0.8,10.41
82.0,23,6.44,-1.13,30,19.4,1.18,117,78.1,14.53,44,0.7,0.79
83.0,23,8.18,-0.97,43.5,22.8,1.18,117,39.05,148.5,120,0.8,1.17
84.0,23,8.14,-0.97,42.6,23.3,1.19,292.5,91.12,24.1,146,0.8,0.79
85.0,23,8.09,-0.97,27.2,27,1.15,146.2,52.07,88.68,153,0.8,0.41
86.0,27,6.76,-0.87,10.5,21.6,1.24,175.5,65.09,38.45,108,0.8,2.74
87.0,23,6.55,-1.03,30.9,21.4,1.17,351,91.12,2.57,49,0.7,0.79
88.0,23,6.59,-1.03,30,21,1.22,146.2,117.2,69.54,51,0.7,0.79
89.0,50,9.88,-0.76,41,25.7,1.21,234,52.07,351.9,69,0.7,1.57
90.0,50,6.79,-0.75,41,26.9,1.17,21.06,65.09,9.75,65,0.7,1.98
91.0,40,7.01,-0.86,98.6,20.1,1.14,87.75,65.09,9.75,201,0.7,1.98
92.0,23,8.01,-0.96,44.9,24.2,1.25,263.2,78.1,48.02,163,0.8,0.79
93.0,16,5.99,-0.8,35.7,27.1,1.28,263.2,156.2,698.6,111,0.8,1.57
94.0,23,7.95,-0.98,44.3,29.3,1.16,11.7,65.09,146.1,125,0.8,1.96
95.0,27,4.14,-1.07,207,22.8,1.22,87.75,5.21,55.19,216,0.7,4.83
96.0,27,5.07,-1.15,72.6,25,1.12,87.75,6.51,69.54,285,0.7,1.27
97.0,35,5.13,-0.58,11,29.4,1.12,17.75,5.21,69.54,101,0.7,5
98.0,35,5.73,-0.58,8.4,23.1,1.11,234,5.21,43.23,178,0.7,8.41
99.0,35,6.33,-0.57,11.4,24.9,1.17,58.5,6.51,43.23,189,0.7,7.59
100.0,37,5.49,-0.82,22.3,31.8,1.23,117,7.81,21.71,144,0.7,7.59
101.0,37,5.41,-0.95,28.2,23.1,1.19,117,5.21,0.99,146,0.7,5
102.0,37,5.43,-0.99,78.3,22.4,1.1,672.7,5.21,28.88,173,0.7,8.41
103.0,37,5.33,-0.93,10.3,57.6,1.14,146.2,5.21,9.75,175,0.7,5
104.0,37,5.32,-0.87,8.9,19.7,1.18,11.7,3.91,45.63,232,0.7,1.78
105.0,33,5.04,-0.7,143.8,19.3,1.18,17.75,3.91,191.5,2.1,0.7,1.14
106.0,33,6.36,-0.7,12.2,32.1,1.19,75.5,10.41,2.57,242,0.7,2.54
107.0,33,5.8,-0.74,399.5,14.1,1.17,75.5,5.21,88.68,216,0.7,2.36
108.0,35,5.19,-0.58,11.2,29.7,1.28,27.75,5.21,53.66,107,0.7,5
109.0,27,4.64,-1.07,218.7,26.8,1.22,89.75,5.21,55.19,206,0.7,4.83
110.0,33,6.32,-0.76,276.7,8.8,1.23,46.25,5.21,189.1,256,0.7,1.52
111.0,21,6.16,-0.96,28.4,19.5,1.35,10.75,13.87,41.41,298,0.8,0.99
112.0,21,6.75,-0.91,34.1,15.2,1.45,8.27,8.32,16.85,262,0.7,0.81
113.0,19,6.98,-1.9,21.5,22.3,1.38,10.75,13.87,35.32,256,0.8,0.79
114.0,19,6.81,-1.97,33.7,21.9,1.4,11.58,13.87,37.37,256,0.8,0.79
115.0,26,6.47,-1.13,32.7,24.2,1.44,12.13,12.93,129.5,275,0.7,1.65
116.0,21,5.94,-1.23,24,19.1,1.4,10.75,11.1,177.4,270,0.8,1.17
117.0,26,7.01,-1.1,34.1,24.7,1.43,17.72,12.93,115,72,0.7,2.11
118.0,26,6.8,-1.11,32.7,21.6,1.42,7.72,8.32,89.3,126,0.7,1.25
119.0,10,5.41,-0.9,25,19.4,1.46,28.12,9.24,332.2,90,0.8,0.46
120.0,21,5.68,-0.93,156.5,21.4,1.4,11.58,11.1,35.4,106,0.8,0.79
121.0,11,4.48,-0.84,35.2,27,1.44,32.43,16.48,160.4,45,1.0,2.65
122.0,21,6.14,-0.92,25.8,16.1,1.43,18.2,16.65,126.9,312,0.7,0.79
123.0,21,6.68,-0.93,46.5,17.7,1.39,28.95,14.76,93.58,220,0.8,0.76
124.0,9,5.8,-0.68,243.6,11.4,1.47,32.53,16.65,243.4,192,1.0,0.43
125.0,9,6.05,-0.84,16.1,23.6,1.48,33.58,16.65,263.8,211,0.9,0.41
126.0,10,5.23,-0.91,34.4,12.8,1.45,33.09,11.1,315.2,127,1.0,1.68
127.0,21,7.62,-0.93,32,16.2,1.37,8.27,16.65,68.6,226,0.7,0.79
128.0,26,6.8,-0.79,30.9,23.1,1.36,14.89,11.1,90.16,162,0.7,2.11
129.0,9,6.04,-0.83,13.1,26.4,1.49,24.81,27.74,127.2,236,1.0,0.41
130.0,21,6.89,-1.16,20.6,14.9,1.43,8.27,22.19,126.6,242,0.8,0.41
131.0,21,6.4,-0.88,30.9,18.8,1.43,8.27,14.76,80.1,202,0.8,0.51
132.0,11,6.5,-0.9,55.9,28.3,1.4,18.2,8.32,216.2,255,1.0,0.99
133.0,26,7.8,-0.79,30.9,23.1,1.42,8.27,11.1,39.09,162,0.7,0.79
134.0,10,4.75,-0.91,113.1,15.6,1.34,10.75,8.32,77.33,240,1.0,1.24
135.0,12,7.45,-0.86,149.1,14.3,1.41,54.58,8.32,36.28,50,0.3,0.41
136.0,20,5.5,-1.02,161.2,21.2,1.35,17.61,11.1,14.9,168,0.8,0.91
137.0,12,6.83,-1.04,100.8,16.9,1.42,9.68,5.55,129.5,87,0.3,0.43
138.0,19,7.55,-0.71,14,29.9,1.38,15.85,13.87,67.74,200,0.8,0.66
139.0,12,6.98,-1.05,41,16,1.37,16.73,5.55,169.6,23,0.3,0.79
140.0,19,5.3,-1.06,107.7,20,1.37,4.4,11.1,68.17,301,0.8,1.68
141.0,17,5.9,-0.67,105.3,18.6,1.37,8.8,11.1,44.22,322,0.8,0.48
142.0,11,6.18,-1.43,18.7,19.4,1.34,8.8,16.65,42.51,20,0.3,0.91
143.0,10,6.97,-1.07,48.4,17.5,1.45,7.04,8.32,114.4,44,1.0,0.43
144.0,12,6.99,-1.05,41.1,26,1.45,76.59,16.65,63.04,23,0.8,0.79
145.0,20,5.16,-0.7,21,13.9,1.43,39.8,11.87,15.57,108,1.0,3.76
146.0,5,6.91,-0.81,6,19.6,1.56,237.7,30.52,905.3,92,1.0,0.53
147.0,5,7.12,-0.79,4.8,18.1,1.55,206.9,27.74,836.9,109,1.0,1.57
148.0,20,5.52,-0.65,65,29,1.42,3.52,8.32,452.3,339,0.8,1.04
149.0,5,7.25,-0.86,4.5,25,1.55,184.9,30.07,344.4,85,1.0,1.57
150.0,27,6.5,-0.88,19,20.9,1.3,16.73,12.93,114.8,215,0.7,0.48
151.0,19,6.02,-1.18,67,21.6,1.35,33.09,11.1,215.1,230,0.8,1.17
152.0,19,6.08,-1.08,93.4,22.5,1.37,10.75,8.32,77.33,205,0.8,1.07
153.0,12,7.31,-1.05,20.6,33.9,1.49,8.27,22.19,106.6,55,0.8,0.41
154.0,19,4.98,-0.9,118.9,17.4,1.37,31.43,18.48,280.4,302,1.0,1.17
155.0,19,5.56,-0.99,161.2,16.4,1.38,14.4,7.1,68.17,328,1.0,1.57
156.0,12,7.04,-0.81,31.6,27.1,1.48,18.2,16.65,126.9,88,0.8,1.4
157.0,19,5.53,-1.1,148.1,16,1.37,28.12,9.24,332.2,330,0.8,1.25
158.0,14,6.2,-1.01,60,21.6,1.35,32.09,18.1,205.1,230,0.8,0.91
159.0,19,6.18,-1,80.4,22.5,1.37,11.75,8.32,79.33,205,0.8,0.91
160.0,26,5.01,-0.67,12.3,28.6,1.3,34.85,5.55,33.43,102,0.7,3.3
161.0,25,4.91,-0.99,102.9,17.4,1.37,31.93,16.48,290.4,302,0.7,0.9
162.0,19,5.66,-1.08,141.2,16.4,1.38,14.49,7.1,57.17,328,0.8,0.94
163.0,15,5.32,-1.07,14.1,29,1.37,26.06,8.32,79.64,110,0.9,1.91
164.0,19,5.3,-1.06,107.7,20,1.37,8.27,9.24,106.6,301,0.8,1.04
165.0,13,5.08,-1.02,13.7,29.9,1.4,28.27,12.65,80.78,106,1.0,1.91
166.0,15,5.14,-1.1,24,22.1,1.4,27.33,7.1,122.1,132,0.9,1.87
167.0,21,6.14,-1,25.8,16.1,1.43,16.62,11.1,94.26,312,0.7,0.91
168.0,17,6.68,-0.93,40.5,17.7,1.39,28.27,9.24,138,220,0.8,1.17
169.0,23,6.29,-1.06,20.6,14.9,1.39,8.27,22.19,126.6,142,0.7,0.66
170.0,19,5.64,-0.65,56,26.7,1.33,31.44,12.93,343.3,135,1.0,2.34
171.0,23,6.48,-0.81,46.5,27.7,1.36,28.95,14.76,93.58,220,0.7,1.17
172.0,10,5.25,-0.81,70.1,21.6,1.35,63.58,12.65,163.8,111,0.3,1.57
173.0,39,7.79,-1,21.4,26.2,1.42,20.58,18.02,139.8,93,0.7,0.79
174.0,39,7.4,-0.91,40.4,20.5,1.36,32.01,12.05,158.9,132,0.7,1.57
175.0,39,7.8,-0.95,15.4,38.6,1.39,3.2,13.89,145.3,144,0.7,1.19
176.0,19,6.69,-0.83,15.9,30.3,1.39,17.57,11.1,146.2,99,0.7,1.57
177.0,19,6.29,-0.8,4.3,36.3,1.36,10.15,7.1,289.8,145,0.7,1.19
178.0,19,6.91,-0.77,4.8,22,1.35,3.9,20.99,206.6,86,0.8,1.17
179.0,19,5.89,-0.77,5.7,27.7,1.44,17.58,25.01,289.8,55,0.8,0.79
180.0,19,5.86,-0.77,10.4,27,1.44,3.2,25.01,259.3,25,0.8,0.79
181.0,19,6.75,-0.77,8.1,27.6,1.41,8.65,25.01,209.2,159,0.8,0.79
182.0,31,5.96,-0.74,16.2,29.1,1.32,36.06,5.1,16.57,63,0.7,5.87
183.0,31,5.85,-0.74,16.5,31.8,1.3,39.17,5.1,19.17,63,0.7,5.87
184.0,23,7.99,-0.97,45.7,23,1.36,146.2,65.09,31.27,161,0.8,3.3
185.0,16,5.98,-0.8,33.5,28.1,1.44,409.5,195.2,292,109,0.8,1.57
186.0,19,6.91,-0.77,4.8,22,1.35,3.9,20.99,206.6,86,0.8,1.17
187.0,19,5.89,-0.77,5.7,27.7,1.44,17.58,25.01,289.8,55,0.8,0.79
188.0,19,5.86,-0.77,10.4,27,1.44,3.2,25.01,259.3,25,0.8,0.79
189.0,19,6.75,-0.77,8.1,27.6,1.41,8.65,25.01,209.2,159,0.8,0.79
190.0,21,5.5,-1.23,21.1,19.1,1.33,9.1,8.32,138,240,0.8,1.17
191.0,26,6.16,-0.69,16.9,27.1,1.31,28.2,10.87,125.2,149,0.7,2.74
192.0,26,6.42,-0.75,14.5,22.3,1.32,31.93,16.65,179.1,252.7,0.7,2.46
193.0,26,6.52,-0.83,17.8,28.4,1.32,20.4,19.42,77.33,261.4,0.7,1.27
194.0,26,5.6,-0.62,16.5,29.3,1.31,34.81,12.65,74.26,217.3,0.7,3.58
195.0,26,6.15,-0.72,15.6,26.9,1.32,28.74,13.87,128,219.1,0.7,2.49
196.0,26,6.89,-0.8,15.6,23.9,1.33,25.31,18.48,35.42,271.3,0.7,2.31
197.0,26,6.59,-0.76,16.4,26.3,1.33,25.31,16.65,56.8,241.5,0.7,1.02
198.0,21,6.03,-1.13,30,19.4,1.32,8.27,20.34,109.8,44,0.8,0.41
199.0,26,6.69,-1.1,19.6,23.5,1.33,7.11,22.19,71.16,147,0.7,1.91
200.0,26,5.05,-1.01,21.2,21.1,1.34,29.93,11.65,88.7,170,0.7,3.58
201.0,9,6.25,-0.81,10.1,23.6,1.34,8.27,24.03,50.64,189,0.8,0.41
202.0,9,9.36,-0.79,1.9,30.7,1.33,289.5,46.22,1370.2,19,0.9,0.43
203.0,21,5.7,-0.89,24.3,15.5,1.38,4.96,9.71,82.71,120,0.8,1.68
204.0,22,7.32,-0.88,54,16.5,1.32,8.27,11.1,123.5,154,0.7,0.43
205.0,22,7,-0.61,14.8,29.2,1.33,14.09,11.1,219.3,70,0.8,1.4
206.0,12,6.85,-1.08,45.1,17.2,1.33,4.4,11.1,100.7,78,0.3,0.43
207.0,10,4.85,-0.82,113.1,15.8,1.31,59.87,11.1,11.3,240,1.0,2.57
208.0,20,5.89,-0.9,93.4,16,1.33,11.45,11.1,74.58,301,0.8,0.58
209.0,21,7.02,-0.9,34.5,24.1,1.37,3.52,11.1,64.75,155,0.8,0.48
210.0,29,6.4,-0.88,29.8,22.1,1.31,32.28,8.32,132.3,185.9,0.7,1.96
211.0,25,6.67,-0.9,15.7,19.1,1.31,11.45,12.94,85.7,235,0.7,1.96
212.0,5,5.9,-0.79,18.8,24.5,1.3,26.41,10.1,162.9,159,1.0,1.19
213.0,26,6.81,-0.8,10.8,22.1,1.33,19.37,11.1,99.56,233,0.7,0.48
214.0,18,4.95,-1,19.7,27.4,1.31,62.28,8.32,132.3,213,1.0,3.1
215.0,22,5.79,-1.1,72.3,28.3,1.31,14.09,11.1,99.3,190,0.8,0.94
216.0,12,6.98,-1.09,40.4,30.6,1.31,8.27,24.03,50.64,98,0.3,0.41
217.0,18,4.9,-1,102.7,17.4,1.31,32.81,8.32,149.3,233,0.8,1.59
218.0,22,5.69,-1.09,42.3,28.3,1.31,26.99,5.55,109.3,150,0.8,1.96
219.0,26,6.89,-0.8,15.6,23.9,1.33,17.11,11.1,75.01,271.3,0.7,1.04
220.0,26,5.09,-0.76,16.4,26.8,1.33,29.93,11.1,157.7,241.5,0.7,2.1
221.0,21,5.5,-1.14,21.1,19.1,1.33,16.62,8.32,60.47,240,0.7,1.17
222.0,26,6.59,-0.73,14.4,27.8,1.33,16.75,8.32,103.5,199,0.7,1.59
223.0,5,5.07,-0.71,3.8,26.1,1.35,18.27,10.74,77.33,89,0.8,1.17
224.0,9,8.01,-0.79,2.1,33.7,1.32,152.3,16.22,677.4,19,1.0,0.91
225.0,22,5.74,-1.03,44,25.1,1.32,29.75,11.1,177.4,70,0.8,1.04
226.0,15,6.42,-0.9,34.5,24.1,1.3,33.52,11.1,64.75,155,1.0,1.17
227.0,21,7.12,-0.71,34.1,15.2,1.32,48.27,8.32,16.85,162,0.8,1.4
228.0,16,4.99,-0.6,30,18.9,1.33,100.8,5.55,15.57,108,1.0,4.15
229.0,15,7.1,-0.56,34.5,24.1,1.38,33.52,11.1,64.75,150,1.0,0.94
230.0,30,5.65,-0.91,36.6,27.7,1.36,13.33,13.87,108.4,190,0.7,2.21
231.0,17,5.84,-0.95,56,27.7,1.32,30.44,12.93,343.3,235,0.8,0.79
232.0,42,7.26,-0.47,7.2,22.9,1.31,94.59,55.39,958.9,98,0.7,0.81
233.0,42,6.3,-0.49,6.3,31.5,1.31,125.4,45.37,590.4,109,0.7,8.13
234.0,42,6.58,-0.49,4.9,33.3,1.31,107,43.7,498,107,0.7,7.7
235.0,42,7.09,-0.49,7.1,16.8,1.34,90.96,29.65,401.2,138,0.7,0.81
236.0,42,6.81,-0.49,7.3,31.7,1.33,55.66,59.35,905.6,100,0.7,1.19
237.0,42,7.36,-0.49,6.5,22,1.36,19.02,41.82,312.7,132,0.7,0.41
238.0,42,6.22,-0.49,8.2,37.2,1.33,19.02,23.17,157.1,103,0.7,7.65
239.0,42,7.52,-0.49,7.7,35.8,1.37,8.17,5.55,281.2,117,0.7,1.6
240.0,29,6.28,-1.57,306.1,21.7,1.31,20.16,5.1,50.36,167,0.7,5.33
241.0,22,5.08,-1.53,20.1,27.7,1.31,21.17,0.99,25.27,149,0.8,10.41
242.0,50,6.81,-0.76,41.5,24.7,1.3,11.7,91.12,550.3,72,0.7,1.17
243.0,27,5.98,-0.7,51.3,29.7,1.31,146.2,104.1,59.98,41,0.7,4.75
244.0,23,8.02,-0.96,46.9,25.7,1.3,117,39.05,148.5,169,0.8,3.18
245.0,27,6.91,-0.85,14.6,25.1,1.27,117,65.09,43.23,89,0.7,0.81
246.0,20,6.5,-0.79,21.5,25.6,1.29,204.8,78.1,227.4,69,0.7,1.17
247.0,23,6.99,-1,45.7,30.1,1.26,146.2,169.2,115,125,0.8,13.44
248.0,33,5.1,-0.66,20.8,25.1,1.25,14.25,5.21,69.54,151,0.7,3.3
249.0,17,5.84,-0.95,56,27.7,1.32,30.44,12.93,343.3,235,0.8,0.79
250.0,50,6.91,-0.77,42,24.8,1.3,21.7,91.12,385.8,75,0.7,1.17
251.0,27,6.94,-0.84,13.3,24.8,1.26,0.99,0.99,0.99,91,0.7,0.79
252.0,21,7.41,-0.57,13.9,27.3,1.28,11.7,6.51,64.76,53,0.7,1.57
253.0,33,5.3,-0.69,31.7,18.8,1.24,23.45,6.51,177.2,117,0.7,2.79
254.0,33,5.42,-0.69,29.5,25.7,1.25,11.7,6.51,19.32,134,0.7,1.78
255.0,33,5.04,-0.7,143.8,19.3,1.3,14.25,5.21,21.71,2.1,0.7,1.78
256.0,33,6.24,-0.71,36.3,19.2,1.26,46.25,5.21,138.9,48,0.7,1.14
257.0,33,4.56,-0.62,116.2,18,1.22,37.75,6.51,0.99,260,0.7,2.36
258.0,33,4.96,-0.62,169.2,17.4,1.22,30.75,6.51,9.75,255,0.7,2.36
259.0,19,6.41,-0.85,7.2,34.4,1.33,351,78.1,16.92,119,0.7,0.79
