,t (mm),d (mm),fy (MPa),E (MPa),Mu (kN⋅m)
207,12.22,610,360,199.736,892.2
208,8.71,604,292,200.575,294.9
209,16.98,374,306,201.353,241.2
210,6.08,450,330,200.052,1255.0
211,24.81,453,317,206.503,1075.6
212,10.89,610,339,198.943,1046.2
213,4.7,169,355,210.0,259.2
214,11.94,610,356,200.977,990.6
215,13.5,610,376,199.944,846.8
216,5.8,384,376,199.363,286.7
217,7.85,423,316,200.177,152.5
218,1.73,157,373,210.0,1.6
219,7.54,393,400,198.943,11.1
220,5.16,89,276,209.663,358.9
221,11.42,585,350,200.621,1107.9
222,8.12,89,288,210.0,274.3
223,1.47,153,372,209.33,192.6
224,2.36,185,394,210.0,87.9
225,7.44,96,371,209.507,311.8
226,3.13,121,375,209.884,241.5
227,0.76,89,338,208.967,354.9
228,7.42,412,315,198.943,1424.2
229,13.86,89,295,209.535,408.1
230,20.02,180,348,209.832,1035.3
231,7.13,429,318,201.505,730.0
232,1.56,89,331,210.0,316.3
233,3.67,119,357,208.906,1.6
234,2.34,126,324,208.938,126.5
235,12.81,560,323,199.909,1447.5
236,9.64,150,363,208.773,274.5
237,11.97,415,346,198.943,1389.4
238,1.67,124,366,210.0,142.8
239,6.78,427,403,202.31,1098.2
240,8.1,443,390,199.62,1273.0
241,3.77,193,301,209.435,278.2
242,10.13,548,395,199.26,1250.7
243,2.46,149,358,208.969,141.3
244,8.19,94,282,209.683,272.6
245,11.17,573,331,199.647,943.7
246,11.52,599,364,199.377,1303.5
247,19.48,426,301,198.943,333.0
248,9.52,379,398,200.856,856.6
249,5.68,119,300,209.367,211.6
250,10.4,467,397,200.906,859.1
251,15.4,89,342,209.846,282.5
252,7.32,487,294,200.486,1004.8
253,7.98,476,343,199.414,1550.0
254,9.27,607,328,199.781,1168.5
255,8.09,546,329,200.137,797.6
256,1.7,179,362,209.759,140.7
257,12.56,396,294,209.676,396.4
258,8.53,109,271,210.0,177.6
259,13.43,531,314,199.791,1111.9
260,8.1,395,389,206.261,30.2
261,10.38,105,332,209.25,272.5
262,7.01,547,299,200.37,1585.4
263,10.17,553,329,198.971,1205.5
264,1.94,205,359,209.411,65.5
265,6.66,190,292,210.0,237.6
266,12.5,610,390,200.825,894.0
267,23.69,496,316,198.943,1539.5
268,6.24,449,414,199.866,1409.6
269,4.06,165,266,209.218,313.4
270,7.26,498,380,210.0,154.9
271,10.76,527,327,201.001,998.7
272,9.33,165,379,209.676,251.7
273,15.18,186,272,209.846,280.8
274,10.56,150,385,209.632,219.4
275,12.95,126,364,209.219,70.7
276,9.87,89,245,209.115,286.5
277,9.58,496,349,200.149,866.4
278,13.39,101,298,210.0,394.5
279,7.09,89,284,209.403,300.3
280,10.99,537,315,200.451,1462.4
281,4.22,170,377,209.754,12.1
282,1.83,215,346,208.855,290.3
283,7.66,435,309,209.106,1333.8
284,4.85,172,354,209.213,228.1
285,11.17,610,375,199.652,819.5
286,1.88,135,390,209.384,194.4
287,4.97,89,277,209.532,273.9
288,0.76,89,279,209.432,450.2
289,7.01,179,370,210.0,283.6
290,0.76,89,358,209.736,35.6
291,3.96,114,354,209.514,1.6
292,7.95,377,309,200.671,831.3
293,11.21,610,377,199.582,786.0
294,11.72,382,273,210.0,957.8
295,11.48,610,358,199.781,1206.6
296,3.86,134,379,209.132,127.2
297,5.8,349,303,210.0,69.3
298,13.34,610,366,199.974,927.2
299,7.02,441,308,199.642,69.3
300,9.71,575,343,199.493,1302.5
301,8.55,495,304,209.18,430.1
302,0.76,171,346,209.786,1.6
303,11.27,92,388,209.502,34.6
304,7.86,151,368,209.172,432.9
305,3.7,131,356,209.399,938.3
306,0.76,209,372,209.776,177.3
307,2.09,99,288,210.0,1.6
308,13.99,610,289,199.708,1041.3
309,11.49,593,434,200.651,696.8
310,4.48,446,374,200.528,332.9
311,3.31,159,365,209.434,171.8
312,5.42,124,356,210.0,1.6
313,15.14,117,293,209.081,59.5
314,6.4,114,296,209.585,218.0
315,4.71,99,349,209.693,184.3
316,0.76,152,258,208.785,346.1
317,12.14,535,323,200.425,974.9
318,7.52,466,409,200.808,41.1
319,7.15,172,307,209.412,305.0
320,0.76,111,370,209.59,114.8
321,8.52,134,260,209.565,377.4
322,11.32,490,337,200.035,1119.2
323,5.9,182,264,210.0,173.4
324,5.11,193,303,209.758,189.6
325,7.49,145,399,210.0,36.2
326,19.39,545,329,199.571,1153.0
327,11.33,536,311,199.038,1142.6
328,9.39,558,419,200.096,1206.8
329,16.87,174,350,208.677,262.1
330,4.43,182,324,209.924,341.1
331,11.22,511,316,200.19,1361.4
332,7.69,110,366,209.841,214.1
333,10.8,427,311,204.5,105.0
334,8.84,104,363,209.108,187.2
335,10.77,610,354,200.911,658.6
336,13.99,168,344,209.02,257.8
337,21.58,209,380,209.559,328.7
338,0.76,212,352,209.704,97.2
339,10.07,524,353,200.317,1007.7
340,21.73,502,323,199.687,1012.5
341,10.78,610,333,200.282,565.2
342,3.92,386,300,209.587,148.3
343,12.03,143,358,210.0,1.6
344,7.56,143,352,209.325,400.1
345,7.34,518,353,198.943,1445.5
346,9.91,584,346,200.355,633.7
347,1.81,97,373,210.0,38.0
348,13.51,610,360,199.675,954.9
349,9.58,187,357,209.971,252.4
350,8.29,610,349,199.793,867.3
351,12.46,590,434,199.721,1016.4
352,6.12,250,367,209.783,1.6
353,5.83,153,263,209.225,241.2
354,2.45,116,354,209.581,173.2
355,12.67,610,363,200.215,589.3
356,8.52,486,397,200.371,606.5
357,5.63,434,391,200.284,1543.5
358,6.87,486,312,210.0,328.9
359,7.31,89,255,209.292,201.2
360,19.75,524,341,199.525,1340.4
361,0.76,133,352,209.56,278.6
362,4.49,206,398,199.648,827.7
363,2.66,121,363,209.408,183.1
364,3.52,89,360,208.699,38.3
365,8.02,452,307,209.329,179.4
366,8.88,476,308,199.822,830.0
367,9.07,501,388,200.607,349.1
368,6.71,146,359,210.0,253.9
369,5.47,188,335,210.0,216.0
370,11.98,89,278,208.963,175.4
371,6.95,247,417,200.586,205.6
372,5.09,168,292,209.744,1.6
373,2.35,110,344,209.711,343.0
374,4.45,100,264,209.514,274.7
375,8.78,452,334,198.943,1442.4
376,10.59,584,343,199.7,1266.6
377,11.93,542,317,200.544,885.5
378,5.39,496,387,209.194,331.1
379,10.97,486,333,200.506,877.4
380,10.69,582,327,199.515,1073.9
381,5.62,185,368,209.099,1.6
382,19.62,89,372,210.0,336.1
383,11.81,421,308,200.005,1433.6
384,3.74,230,374,209.448,31.5
385,12.47,89,274,209.6,303.9
386,22.06,517,341,200.249,1022.8
387,3.99,136,279,208.78,191.5
388,3.66,89,321,209.188,219.5
389,8.66,89,277,208.996,229.5
390,4.85,89,342,209.437,96.1
391,10.54,493,339,199.683,885.3
392,7.59,463,413,210.0,261.9
393,7.82,497,325,200.293,1225.5
394,0.76,124,340,208.976,88.5
395,5.03,89,297,209.269,185.6
396,5.6,414,269,210.0,92.9
397,0.76,114,356,209.246,143.3
398,12.3,610,373,200.643,858.2
399,8.55,447,326,200.14,1304.7
400,11.06,510,400,200.068,1001.0
401,8.81,487,363,199.462,1237.5
402,9.67,384,305,209.604,449.3
403,2.05,168,267,209.414,353.7
404,12.96,610,382,201.535,380.1
405,8.81,562,385,199.572,1469.5
406,8.42,509,308,199.475,518.4
407,6.72,89,326,209.717,264.9
408,5.65,469,367,200.2,868.0
409,2.37,138,353,209.447,129.6
410,3.51,199,295,210.0,341.1
411,7.06,508,318,200.194,1365.7
412,8.11,574,434,199.615,1564.3
413,11.77,377,302,208.8,280.7
414,22.4,394,299,200.226,451.2
415,5.8,500,321,200.964,826.7
416,10.61,610,332,201.603,1261.9
417,13.86,404,296,200.176,210.1
418,18.07,445,282,200.761,1308.4
419,11.9,431,290,199.232,423.2
420,9.66,109,349,209.452,270.6
421,11.37,610,358,200.175,847.5
422,0.76,89,371,209.598,1.6
423,4.29,185,295,210.0,377.0
424,13.05,375,368,208.592,1591.1
425,1.66,205,355,209.425,118.3
426,6.69,475,310,199.417,197.2
427,6.18,388,273,209.554,327.0
428,7.94,89,351,209.367,94.1
429,9.27,577,361,200.452,737.2
430,12.61,610,370,200.143,609.2
431,3.41,168,300,209.142,217.7
432,3.32,182,336,209.745,130.6
433,2.27,117,360,210.0,28.2
434,0.9,89,367,209.283,26.6
435,7.27,89,292,209.421,200.6
436,7.25,454,304,199.918,1180.4
437,7.23,213,400,210.0,150.2
438,14.04,610,396,199.985,969.4
439,17.54,337,289,199.53,935.6
440,13.45,362,309,208.803,1090.1
441,13.63,133,375,210.0,195.9
442,11.68,610,359,200.41,1052.3
443,2.33,89,362,210.0,1.6
444,3.28,95,353,209.917,201.0
445,2.37,112,328,209.998,144.7
446,6.55,424,305,209.874,249.5
447,3.46,433,313,210.0,262.8
448,11.07,596,426,199.78,1304.1
449,6.71,114,362,209.998,206.2
450,10.85,610,363,199.766,933.6
451,5.79,402,375,199.377,1390.4
452,4.14,156,380,209.467,186.5
453,14.64,89,348,209.454,613.8
454,2.86,100,370,209.321,286.7
455,2.24,156,367,209.792,213.9
456,10.8,533,335,200.113,1019.5
457,0.76,112,284,210.0,231.2
458,9.78,570,374,200.587,636.3
459,7.86,89,276,209.509,119.1
460,1.9,162,352,209.739,176.4
461,7.02,451,328,200.219,1723.5
462,7.74,97,334,210.0,349.4
463,6.09,148,336,209.343,1.6
464,3.53,431,389,210.0,292.5
465,8.6,532,332,201.526,1492.5
466,6.76,152,330,209.796,104.8
467,11.71,134,333,208.816,247.5
468,9.06,342,303,208.689,1246.0
469,11.91,360,378,209.809,279.2
470,5.1,169,367,209.254,284.5
471,11.79,566,369,198.943,1140.2
472,11.99,587,366,199.003,999.0
473,2.37,146,367,209.619,4.4
474,4.68,232,340,209.418,280.2
475,9.99,610,358,198.943,1151.9
476,8.12,497,413,200.268,1498.5
477,1.48,93,381,209.573,285.7
478,4.57,420,395,209.333,176.3
479,1.93,200,384,209.162,157.8
480,3.43,130,278,209.201,165.0
481,0.76,89,257,209.68,159.0
482,7.3,441,350,199.097,848.3
483,6.93,497,370,199.621,1123.4
484,8.73,107,376,209.62,135.8
485,3.0,129,373,210.0,65.3
486,5.98,348,294,208.368,569.2
487,0.76,125,376,209.725,139.3
488,10.34,161,305,210.0,177.4
489,6.06,381,390,209.533,199.2
490,7.32,572,341,200.123,793.2
491,10.07,514,344,199.245,1175.4
492,0.76,89,351,209.951,5.0
493,25.0,489,304,200.222,1294.1
494,9.88,116,302,209.176,147.2
495,7.07,529,374,198.943,318.4
496,0.93,153,338,209.141,53.1
497,4.46,116,401,209.852,294.1
498,10.1,578,378,199.526,947.9
499,4.27,89,281,209.733,39.7
500,7.73,394,299,199.24,1467.0
501,3.73,89,333,209.264,64.0
502,8.87,554,363,199.712,1288.5
503,1.87,89,358,209.791,96.2
504,13.1,610,381,200.028,675.0
505,3.93,133,386,209.54,160.1
506,18.81,535,358,199.159,1597.4
507,4.31,475,315,200.716,311.7
508,10.67,164,302,208.993,230.4
509,9.73,540,322,200.632,692.1
510,3.4,107,372,209.294,1.6
511,18.46,429,274,208.761,218.8
512,13.79,162,303,209.578,119.9
513,9.76,519,399,198.943,1294.6
514,12.21,301,294,199.8,1153.3
515,18.18,393,298,199.619,1198.5
516,12.61,139,384,208.987,199.7
517,8.23,151,265,209.521,306.7
518,8.03,424,379,210.0,125.6
519,3.77,89,321,209.752,334.0
520,13.45,610,384,200.639,778.1
521,9.13,514,336,200.494,1184.0
522,3.27,89,304,209.903,292.3
523,13.57,473,375,199.265,1491.2
524,8.5,498,333,199.7,1358.6
525,8.49,89,289,210.0,257.3
526,4.98,497,420,209.614,220.8
527,7.27,145,399,209.481,229.6
528,9.94,452,282,199.552,1069.1
529,6.29,442,394,209.785,12.1
530,4.3,126,333,210.0,260.2
531,5.42,139,345,209.431,68.9
532,8.14,523,337,198.943,1203.6
533,6.62,245,306,210.0,258.4
534,7.18,575,318,198.943,1674.4
535,4.13,149,287,209.848,323.7
536,2.47,157,377,209.329,95.5
537,2.53,166,339,209.65,94.7
538,3.92,163,367,209.561,184.5
539,12.75,598,358,200.637,917.1
540,10.31,589,326,200.511,1258.0
541,11.16,574,403,200.175,911.5
542,16.89,381,344,198.943,1581.8
543,9.85,534,354,200.162,1206.3
544,8.47,476,370,210.0,1.6
545,22.34,554,349,199.531,1351.7
546,6.52,191,365,210.0,83.1
547,5.32,113,276,209.826,275.8
548,4.6,369,405,210.0,211.2
549,0.76,120,357,209.202,7.0
550,4.63,377,324,208.969,1508.7
551,7.03,107,264,209.406,321.9
552,4.42,181,365,209.264,154.4
553,7.7,117,374,209.95,298.0
554,12.15,610,365,199.515,876.4
555,4.71,126,330,210.0,249.4
556,13.12,603,377,200.061,904.2
557,3.73,224,346,209.843,42.0
558,7.67,154,385,209.118,169.4
559,10.46,576,434,200.048,1060.7
560,13.51,164,340,209.271,1.6
561,3.52,103,302,209.566,436.3
562,10.52,520,376,200.586,1158.3
563,5.28,89,382,210.0,836.8
564,2.37,157,372,209.82,1.6
565,4.99,89,345,209.272,128.5
566,6.37,206,384,208.605,351.0
567,7.23,468,377,210.0,141.6
568,9.91,142,365,209.519,79.3
569,10.79,494,326,200.037,770.7
570,13.05,388,292,200.35,1033.1
571,4.25,90,275,209.205,206.0
572,11.74,601,374,200.47,1173.2
573,1.45,110,261,209.159,249.8
574,7.04,465,294,200.213,1201.3
575,11.51,154,356,209.283,1.6
576,6.93,89,291,209.909,272.7
577,5.88,164,366,210.0,110.1
578,12.62,108,261,209.093,1009.3
579,5.32,89,258,208.92,131.2
580,10.3,557,355,200.06,1335.0
581,10.81,568,316,200.156,1117.6
582,2.34,89,301,208.999,115.9
583,3.1,125,364,210.0,65.8
584,12.48,89,289,210.0,239.9
585,16.72,115,267,209.008,361.1
586,11.08,114,278,208.897,319.7
587,8.89,502,305,200.199,1532.4
588,11.16,503,337,199.815,785.8
589,4.8,100,359,209.333,145.3
590,17.26,453,340,200.588,847.9
591,5.98,470,326,209.761,355.8
592,1.33,89,332,209.991,1.6
593,8.9,442,281,198.943,347.8
594,13.18,253,359,209.355,220.5
595,9.66,534,332,199.739,1362.7
596,13.03,120,284,209.635,495.9
597,8.4,423,299,199.499,1438.5
598,11.19,344,279,209.301,150.4
599,5.51,157,383,210.0,67.6
600,12.95,610,434,200.645,987.6
601,6.36,480,274,200.045,1105.6
602,2.82,113,373,208.734,148.1
603,12.97,610,372,199.462,555.3
604,17.15,102,350,209.1,27.2
605,2.62,113,376,209.979,4.9
606,8.71,417,423,200.197,449.3
607,2.05,89,314,209.118,264.4
608,9.43,561,326,199.864,1198.0
609,8.86,169,276,208.96,330.4
610,5.57,214,422,210.0,206.2
611,11.86,610,366,199.337,1267.8
612,12.35,609,345,199.86,1311.7
613,5.28,445,321,198.943,378.9
614,0.76,89,264,209.666,73.0
615,11.77,582,417,199.38,545.9
616,21.04,496,320,201.11,419.2
617,6.63,387,301,199.098,1030.2
618,13.46,119,369,209.513,77.9
619,19.04,380,314,210.0,13.6
620,3.28,170,369,209.748,100.5
621,9.13,610,395,199.372,199.7
622,11.79,154,378,209.901,316.8
623,11.46,571,311,199.732,887.0
624,11.63,437,276,202.57,349.2
625,12.29,95,363,209.617,296.5
626,3.06,89,363,209.801,45.8
627,11.24,489,345,199.47,1284.2
628,10.74,610,335,199.173,1285.9
629,5.99,157,375,209.649,21.9
630,10.36,430,292,200.036,409.8
631,7.14,465,394,206.053,846.6
632,4.94,156,385,209.564,151.4
633,9.51,89,266,209.386,176.9
634,1.87,119,351,209.174,396.7
635,8.37,228,370,199.487,196.7
636,11.27,564,420,200.01,874.3
637,5.12,165,371,209.735,90.0
638,9.23,470,379,199.983,1017.7
639,16.43,244,375,200.221,1130.3
640,0.76,130,341,209.409,210.6
641,4.03,274,372,210.0,393.0
642,9.62,287,289,209.824,329.2
643,7.54,132,365,209.495,248.0
644,7.9,568,425,199.595,1006.1
645,9.47,506,320,200.802,1220.8
646,10.99,147,346,210.0,49.5
647,0.76,160,364,209.404,1.6
648,7.34,328,300,199.619,1001.2
649,1.57,163,357,209.428,1.6
650,6.84,288,376,210.0,125.5
651,5.9,372,354,209.013,1271.4
652,9.57,610,321,199.751,1389.9
653,4.71,199,371,209.481,175.6
654,6.72,174,392,209.778,272.3
655,4.23,89,359,209.53,1.6
656,10.53,284,370,209.191,227.7
657,3.83,205,395,210.0,141.5
658,4.39,89,351,209.655,96.7
659,1.38,177,329,209.687,1.6
660,8.37,520,347,198.943,1532.9
661,12.45,177,293,206.431,207.3
662,11.76,610,373,199.458,905.7
663,22.24,397,414,200.342,1050.5
664,8.61,426,314,198.972,1211.3
665,10.64,498,328,199.674,1173.0
666,5.92,106,284,209.838,234.6
667,17.78,306,304,200.731,1232.6
668,7.14,463,325,199.904,1143.6
669,5.29,97,298,209.209,173.0
670,4.28,483,390,209.867,995.1
671,0.76,89,354,208.863,394.7
672,2.6,183,276,209.385,72.9
673,5.22,377,273,208.603,361.3
674,22.44,538,329,200.308,1100.8
675,9.61,461,399,209.431,1034.8
676,17.22,475,312,199.485,1206.5
677,0.8,102,378,209.621,1.6
678,8.37,96,342,209.958,155.3
679,11.75,610,336,198.943,787.9
680,8.65,420,364,199.71,848.2
681,1.38,221,343,209.846,278.1
682,9.45,503,434,200.396,791.5
683,0.76,89,354,209.072,283.8
684,10.81,591,329,199.243,587.6
685,8.04,448,338,199.504,878.8
686,8.19,340,313,200.433,1156.1
687,5.53,108,346,209.356,340.3
688,6.24,188,361,209.662,180.0
689,4.04,489,387,209.726,112.5
690,0.76,184,355,209.638,235.7
691,7.27,177,345,209.536,209.5
692,3.01,117,355,208.881,254.3
693,7.49,89,312,199.671,1201.3
694,7.88,480,340,199.769,227.3
695,17.56,145,307,210.0,740.1
696,7.63,485,398,199.899,1278.0
697,12.35,154,386,210.0,207.0
698,12.75,166,275,208.315,170.7
699,9.1,401,315,209.856,152.7
700,9.14,163,358,208.702,27.3
701,14.96,316,289,209.379,363.5
702,8.07,93,337,208.286,227.5
703,2.54,89,369,209.207,195.9
704,5.93,459,300,198.965,269.2
705,0.76,135,331,208.514,125.3
706,21.53,481,320,198.943,1442.6
707,0.76,194,346,209.327,1.6
708,9.54,468,337,198.943,730.8
709,9.48,610,357,199.425,1338.4
710,14.84,279,338,210.0,205.7
711,7.59,435,311,199.721,1158.5
712,10.2,537,313,199.413,1143.6
713,7.11,530,433,200.457,650.6
714,9.35,113,351,209.452,149.8
715,2.76,413,383,204.496,27.5
716,11.63,457,363,200.195,804.1
717,0.76,101,253,208.634,234.5
718,0.76,137,351,209.386,82.0
719,11.83,610,369,199.664,906.3
720,9.22,545,357,200.624,1404.2
721,5.93,218,344,210.0,171.0
722,9.9,610,371,200.216,1306.3
723,12.1,610,351,200.119,692.4
724,0.76,167,350,209.606,201.7
725,5.72,501,315,200.37,1081.9
726,2.65,106,378,209.728,190.1
727,10.57,571,363,199.388,911.5
728,12.76,564,349,201.227,459.6
729,16.28,357,396,209.15,85.1
730,7.3,428,364,210.0,68.0
731,4.48,89,369,209.092,175.0
732,2.6,98,357,209.392,73.2
733,8.72,447,330,200.265,882.5
734,13.45,358,263,208.304,415.7
735,6.51,469,401,209.781,304.9
736,13.86,112,272,209.232,214.6
737,13.38,153,317,209.415,307.1
738,5.09,151,281,209.576,85.9
739,7.46,563,333,199.179,1384.7
740,4.43,149,296,209.861,162.7
741,10.32,610,377,201.129,750.6
742,6.07,377,302,200.078,912.2
743,14.32,89,292,209.686,360.3
744,8.52,459,329,199.245,1763.0
745,5.87,115,285,209.081,500.5
746,10.78,610,434,199.559,831.3
747,8.39,556,337,200.743,600.5
748,8.87,545,373,199.05,614.8
749,5.15,126,344,208.621,212.6
750,4.58,89,340,209.426,169.8
751,12.78,136,303,209.18,182.0
752,5.2,89,355,209.928,211.2
753,11.03,567,367,200.696,297.5
754,11.31,529,297,201.449,1411.7
755,0.79,284,388,208.815,295.8
756,4.75,308,393,209.449,111.8
757,9.47,543,340,200.613,1323.0
758,6.78,479,318,200.687,313.6
759,5.87,503,309,209.696,391.6
760,9.15,448,356,209.59,105.1
761,7.88,272,381,203.363,1141.0
762,1.1,149,335,209.237,237.2
