,Yrs,pH,V,Res,H2O,BD,Cl,HCO3,SO4,Redox,Coat,Pit
61,24,6.12,-0.63,11.6,29.1,1.26,96.81,5.55,115.5,11.0,0.8,3.18
62,21,6.21,-0.71,45.8,12.8,1.26,32.13,11.1,84.17,113.0,0.8,1.31
63,27,5.3,-0.62,36.5,25.3,1.23,109.8,10.65,374.3,17.3,0.7,3.88
64,13,5.08,-0.54,35.2,23.0,1.22,102.4,16.48,260.4,45.0,0.8,2.65
65,28,5.16,-0.79,60.0,23.9,1.36,109.8,11.87,95.57,108.0,0.7,4.24
66,21,6.27,-0.99,55.2,16.4,1.28,8.82,12.93,93.58,106.0,0.8,1.17
67,13,7.11,-0.6,25.0,19.4,1.27,48.12,9.24,232.2,90.0,0.8,0.81
68,18,6.09,-0.86,20.6,19.9,1.28,18.27,22.19,126.6,242.0,0.8,0.94
69,6,5.03,-0.52,43.0,23.1,1.28,18.41,5.55,152.3,102.0,0.3,0.71
70,42,6.12,-0.47,7.8,36.0,1.2,105.5,28.68,455.9,110.0,0.7,8.56
71,42,6.13,-0.47,6.8,32.4,1.21,104.0,15.01,379.1,117.0,0.7,8.31
72,42,6.5,-0.47,10.4,31.3,1.2,128.5,28.99,288.2,98.0,0.7,8.41
73,42,7.09,-0.48,107.1,16.8,1.34,30.96,29.65,101.2,138.0,0.7,0.81
74,42,6.2,-0.49,10.3,38.9,1.22,56.14,33.47,146.8,98.0,0.7,8.26
75,42,7.79,-0.47,8.8,66.0,1.25,5.13,26.5,156.9,92.0,0.7,0.41
76,42,7.21,-0.49,8.1,30.3,1.3,22.17,19.55,256.7,92.0,0.7,1.6
77,42,7.79,-0.47,7.3,39.3,1.3,18.41,29.55,399.9,99.0,0.7,1.57
78,8,5.03,-0.42,6.3,23.7,1.22,49.17,8.32,16.28,130.0,1.0,6.45
79,8,5.08,-0.45,3.8,27.3,1.22,47.57,8.32,14.9,95.0,1.0,7.04
80,22,5.02,-1.67,6.1,36.7,1.13,40.17,5.55,26.12,139.0,0.8,10.41
81,23,6.44,-1.13,30.0,19.4,1.18,117.0,78.1,14.53,44.0,0.7,0.79
82,23,8.18,-0.97,43.5,22.8,1.18,117.0,39.05,148.5,120.0,0.8,1.17
83,23,8.14,-0.97,42.6,23.3,1.19,292.5,91.12,24.1,146.0,0.8,0.79
84,23,8.09,-0.97,27.2,27.0,1.15,146.2,52.07,88.68,153.0,0.8,0.41
85,27,6.76,-0.87,10.5,21.6,1.24,175.5,65.09,38.45,108.0,0.8,2.74
86,23,6.55,-1.03,30.9,21.4,1.17,351.0,91.12,2.57,49.0,0.7,0.79
87,23,6.59,-1.03,30.0,21.0,1.22,146.2,117.2,69.54,51.0,0.7,0.79
88,50,9.88,-0.76,41.0,25.7,1.21,234.0,52.07,351.9,69.0,0.7,1.57
89,50,6.79,-0.75,41.0,26.9,1.17,21.06,65.09,9.75,65.0,0.7,1.98
90,40,7.01,-0.86,98.6,20.1,1.14,87.75,65.09,9.75,201.0,0.7,1.98
91,23,8.01,-0.96,44.9,24.2,1.25,263.2,78.1,48.02,163.0,0.8,0.79
92,16,5.99,-0.8,35.7,27.1,1.28,263.2,156.2,698.6,111.0,0.8,1.57
93,23,7.95,-0.98,44.3,29.3,1.16,11.7,65.09,146.1,125.0,0.8,1.96
94,27,4.14,-1.07,207.0,22.8,1.22,87.75,5.21,55.19,216.0,0.7,4.83
95,27,5.07,-1.15,72.6,25.0,1.12,87.75,6.51,69.54,285.0,0.7,1.27
96,35,5.13,-0.58,11.0,29.4,1.12,17.75,5.21,69.54,101.0,0.7,5.0
97,35,5.73,-0.58,8.4,23.1,1.11,234.0,5.21,43.23,178.0,0.7,8.41
98,35,6.33,-0.57,11.4,24.9,1.17,58.5,6.51,43.23,189.0,0.7,7.59
99,37,5.49,-0.82,22.3,31.8,1.23,117.0,7.81,21.71,144.0,0.7,7.59
100,37,5.41,-0.95,28.2,23.1,1.19,117.0,5.21,0.99,146.0,0.7,5.0
101,37,5.43,-0.99,78.3,22.4,1.1,672.7,5.21,28.88,173.0,0.7,8.41
102,37,5.33,-0.93,10.3,57.6,1.14,146.2,5.21,9.75,175.0,0.7,5.0
103,37,5.32,-0.87,8.9,19.7,1.18,11.7,3.91,45.63,232.0,0.7,1.78
104,33,5.04,-0.7,143.8,19.3,1.18,17.75,3.91,191.5,2.1,0.7,1.14
105,33,6.36,-0.7,12.2,32.1,1.19,75.5,10.41,2.57,242.0,0.7,2.54
106,33,5.8,-0.74,399.5,14.1,1.17,75.5,5.21,88.68,216.0,0.7,2.36
107,35,5.19,-0.58,11.2,29.7,1.28,27.75,5.21,53.66,107.0,0.7,5.0
108,27,4.64,-1.07,218.7,26.8,1.22,89.75,5.21,55.19,206.0,0.7,4.83
109,33,6.32,-0.76,276.7,8.8,1.23,46.25,5.21,189.1,256.0,0.7,1.52
110,21,6.16,-0.96,28.4,19.5,1.35,10.75,13.87,41.41,298.0,0.8,0.99
111,21,6.75,-0.91,34.1,15.2,1.45,8.27,8.32,16.85,262.0,0.7,0.81
112,19,6.98,-1.9,21.5,22.3,1.38,10.75,13.87,35.32,256.0,0.8,0.79
113,19,6.81,-1.97,33.7,21.9,1.4,11.58,13.87,37.37,256.0,0.8,0.79
114,26,6.47,-1.13,32.7,24.2,1.44,12.13,12.93,129.5,275.0,0.7,1.65
115,21,5.94,-1.23,24.0,19.1,1.4,10.75,11.1,177.4,270.0,0.8,1.17
116,26,7.01,-1.1,34.1,24.7,1.43,17.72,12.93,115.0,72.0,0.7,2.11
117,26,6.8,-1.11,32.7,21.6,1.42,7.72,8.32,89.3,126.0,0.7,1.25
118,10,5.41,-0.9,25.0,19.4,1.46,28.12,9.24,332.2,90.0,0.8,0.46
119,21,5.68,-0.93,156.5,21.4,1.4,11.58,11.1,35.4,106.0,0.8,0.79
120,11,4.48,-0.84,35.2,27.0,1.44,32.43,16.48,160.4,45.0,1.0,2.65
121,21,6.14,-0.92,25.8,16.1,1.43,18.2,16.65,126.9,312.0,0.7,0.79
122,21,6.68,-0.93,46.5,17.7,1.39,28.95,14.76,93.58,220.0,0.8,0.76
123,9,5.8,-0.68,243.6,11.4,1.47,32.53,16.65,243.4,192.0,1.0,0.43
124,9,6.05,-0.84,16.1,23.6,1.48,33.58,16.65,263.8,211.0,0.9,0.41
125,10,5.23,-0.91,34.4,12.8,1.45,33.09,11.1,315.2,127.0,1.0,1.68
126,21,7.62,-0.93,32.0,16.2,1.37,8.27,16.65,68.6,226.0,0.7,0.79
127,26,6.8,-0.79,30.9,23.1,1.36,14.89,11.1,90.16,162.0,0.7,2.11
128,9,6.04,-0.83,13.1,26.4,1.49,24.81,27.74,127.2,236.0,1.0,0.41
129,21,6.89,-1.16,20.6,14.9,1.43,8.27,22.19,126.6,242.0,0.8,0.41
130,21,6.4,-0.88,30.9,18.8,1.43,8.27,14.76,80.1,202.0,0.8,0.51
131,11,6.5,-0.9,55.9,28.3,1.4,18.2,8.32,216.2,255.0,1.0,0.99
132,26,7.8,-0.79,30.9,23.1,1.42,8.27,11.1,39.09,162.0,0.7,0.79
133,10,4.75,-0.91,113.1,15.6,1.34,10.75,8.32,77.33,240.0,1.0,1.24
134,12,7.45,-0.86,149.1,14.3,1.41,54.58,8.32,36.28,50.0,0.3,0.41
135,20,5.5,-1.02,161.2,21.2,1.35,17.61,11.1,14.9,168.0,0.8,0.91
136,12,6.83,-1.04,100.8,16.9,1.42,9.68,5.55,129.5,87.0,0.3,0.43
137,19,7.55,-0.71,14.0,29.9,1.38,15.85,13.87,67.74,200.0,0.8,0.66
138,12,6.98,-1.05,41.0,16.0,1.37,16.73,5.55,169.6,23.0,0.3,0.79
139,19,5.3,-1.06,107.7,20.0,1.37,4.4,11.1,68.17,301.0,0.8,1.68
140,17,5.9,-0.67,105.3,18.6,1.37,8.8,11.1,44.22,322.0,0.8,0.48
141,11,6.18,-1.43,18.7,19.4,1.34,8.8,16.65,42.51,20.0,0.3,0.91
142,10,6.97,-1.07,48.4,17.5,1.45,7.04,8.32,114.4,44.0,1.0,0.43
143,12,6.99,-1.05,41.1,26.0,1.45,76.59,16.65,63.04,23.0,0.8,0.79
144,20,5.16,-0.7,21.0,13.9,1.43,39.8,11.87,15.57,108.0,1.0,3.76
145,5,6.91,-0.81,6.0,19.6,1.56,237.7,30.52,905.3,92.0,1.0,0.53
146,5,7.12,-0.79,4.8,18.1,1.55,206.9,27.74,836.9,109.0,1.0,1.57
147,20,5.52,-0.65,65.0,29.0,1.42,3.52,8.32,452.3,339.0,0.8,1.04
148,5,7.25,-0.86,4.5,25.0,1.55,184.9,30.07,344.4,85.0,1.0,1.57
149,27,6.5,-0.88,19.0,20.9,1.3,16.73,12.93,114.8,215.0,0.7,0.48
150,19,6.02,-1.18,67.0,21.6,1.35,33.09,11.1,215.1,230.0,0.8,1.17
151,19,6.08,-1.08,93.4,22.5,1.37,10.75,8.32,77.33,205.0,0.8,1.07
152,12,7.31,-1.05,20.6,33.9,1.49,8.27,22.19,106.6,55.0,0.8,0.41
153,19,4.98,-0.9,118.9,17.4,1.37,31.43,18.48,280.4,302.0,1.0,1.17
154,19,5.56,-0.99,161.2,16.4,1.38,14.4,7.1,68.17,328.0,1.0,1.57
155,12,7.04,-0.81,31.6,27.1,1.48,18.2,16.65,126.9,88.0,0.8,1.4
156,19,5.53,-1.1,148.1,16.0,1.37,28.12,9.24,332.2,330.0,0.8,1.25
157,14,6.2,-1.01,60.0,21.6,1.35,32.09,18.1,205.1,230.0,0.8,0.91
158,19,6.18,-1.0,80.4,22.5,1.37,11.75,8.32,79.33,205.0,0.8,0.91
159,26,5.01,-0.67,12.3,28.6,1.3,34.85,5.55,33.43,102.0,0.7,3.3
160,25,4.91,-0.99,102.9,17.4,1.37,31.93,16.48,290.4,302.0,0.7,0.9
161,19,5.66,-1.08,141.2,16.4,1.38,14.49,7.1,57.17,328.0,0.8,0.94
162,15,5.32,-1.07,14.1,29.0,1.37,26.06,8.32,79.64,110.0,0.9,1.91
163,19,5.3,-1.06,107.7,20.0,1.37,8.27,9.24,106.6,301.0,0.8,1.04
164,13,5.08,-1.02,13.7,29.9,1.4,28.27,12.65,80.78,106.0,1.0,1.91
165,15,5.14,-1.1,24.0,22.1,1.4,27.33,7.1,122.1,132.0,0.9,1.87
166,21,6.14,-1.0,25.8,16.1,1.43,16.62,11.1,94.26,312.0,0.7,0.91
167,17,6.68,-0.93,40.5,17.7,1.39,28.27,9.24,138.0,220.0,0.8,1.17
168,23,6.29,-1.06,20.6,14.9,1.39,8.27,22.19,126.6,142.0,0.7,0.66
169,19,5.64,-0.65,56.0,26.7,1.33,31.44,12.93,343.3,135.0,1.0,2.34
170,23,6.48,-0.81,46.5,27.7,1.36,28.95,14.76,93.58,220.0,0.7,1.17
171,10,5.25,-0.81,70.1,21.6,1.35,63.58,12.65,163.8,111.0,0.3,1.57
172,39,7.79,-1.0,21.4,26.2,1.42,20.58,18.02,139.8,93.0,0.7,0.79
173,39,7.4,-0.91,40.4,20.5,1.36,32.01,12.05,158.9,132.0,0.7,1.57
174,39,7.8,-0.95,15.4,38.6,1.39,3.2,13.89,145.3,144.0,0.7,1.19
175,19,6.69,-0.83,15.9,30.3,1.39,17.57,11.1,146.2,99.0,0.7,1.57
176,19,6.29,-0.8,4.3,36.3,1.36,10.15,7.1,289.8,145.0,0.7,1.19
177,19,6.91,-0.77,4.8,22.0,1.35,3.9,20.99,206.6,86.0,0.8,1.17
178,19,5.89,-0.77,5.7,27.7,1.44,17.58,25.01,289.8,55.0,0.8,0.79
179,19,5.86,-0.77,10.4,27.0,1.44,3.2,25.01,259.3,25.0,0.8,0.79
180,19,6.75,-0.77,8.1,27.6,1.41,8.65,25.01,209.2,159.0,0.8,0.79
181,31,5.96,-0.74,16.2,29.1,1.32,36.06,5.1,16.57,63.0,0.7,5.87
182,31,5.85,-0.74,16.5,31.8,1.3,39.17,5.1,19.17,63.0,0.7,5.87
183,23,7.99,-0.97,45.7,23.0,1.36,146.2,65.09,31.27,161.0,0.8,3.3
184,16,5.98,-0.8,33.5,28.1,1.44,409.5,195.2,292.0,109.0,0.8,1.57
185,19,6.91,-0.77,4.8,22.0,1.35,3.9,20.99,206.6,86.0,0.8,1.17
186,19,5.89,-0.77,5.7,27.7,1.44,17.58,25.01,289.8,55.0,0.8,0.79
187,19,5.86,-0.77,10.4,27.0,1.44,3.2,25.01,259.3,25.0,0.8,0.79
188,19,6.75,-0.77,8.1,27.6,1.41,8.65,25.01,209.2,159.0,0.8,0.79
189,21,5.5,-1.23,21.1,19.1,1.33,9.1,8.32,138.0,240.0,0.8,1.17
190,26,6.16,-0.69,16.9,27.1,1.31,28.2,10.87,125.2,149.0,0.7,2.74
191,26,6.42,-0.75,14.5,22.3,1.32,31.93,16.65,179.1,252.7,0.7,2.46
192,26,6.52,-0.83,17.8,28.4,1.32,20.4,19.42,77.33,261.4,0.7,1.27
193,26,5.6,-0.62,16.5,29.3,1.31,34.81,12.65,74.26,217.3,0.7,3.58
194,26,6.15,-0.72,15.6,26.9,1.32,28.74,13.87,128.0,219.1,0.7,2.49
195,26,6.89,-0.8,15.6,23.9,1.33,25.31,18.48,35.42,271.3,0.7,2.31
196,26,6.59,-0.76,16.4,26.3,1.33,25.31,16.65,56.8,241.5,0.7,1.02
197,21,6.03,-1.13,30.0,19.4,1.32,8.27,20.34,109.8,44.0,0.8,0.41
198,26,6.69,-1.1,19.6,23.5,1.33,7.11,22.19,71.16,147.0,0.7,1.91
199,26,5.05,-1.01,21.2,21.1,1.34,29.93,11.65,88.7,170.0,0.7,3.58
200,9,6.25,-0.81,10.1,23.6,1.34,8.27,24.03,50.64,189.0,0.8,0.41
201,9,9.36,-0.79,1.9,30.7,1.33,289.5,46.22,1370.2,19.0,0.9,0.43
202,21,5.7,-0.89,24.3,15.5,1.38,4.96,9.71,82.71,120.0,0.8,1.68
203,22,7.32,-0.88,54.0,16.5,1.32,8.27,11.1,123.5,154.0,0.7,0.43
204,22,7.0,-0.61,14.8,29.2,1.33,14.09,11.1,219.3,70.0,0.8,1.4
205,12,6.85,-1.08,45.1,17.2,1.33,4.4,11.1,100.7,78.0,0.3,0.43
206,10,4.85,-0.82,113.1,15.8,1.31,59.87,11.1,11.3,240.0,1.0,2.57
207,20,5.89,-0.9,93.4,16.0,1.33,11.45,11.1,74.58,301.0,0.8,0.58
208,21,7.02,-0.9,34.5,24.1,1.37,3.52,11.1,64.75,155.0,0.8,0.48
209,29,6.4,-0.88,29.8,22.1,1.31,32.28,8.32,132.3,185.9,0.7,1.96
210,25,6.67,-0.9,15.7,19.1,1.31,11.45,12.94,85.7,235.0,0.7,1.96
211,5,5.9,-0.79,18.8,24.5,1.3,26.41,10.1,162.9,159.0,1.0,1.19
212,26,6.81,-0.8,10.8,22.1,1.33,19.37,11.1,99.56,233.0,0.7,0.48
213,18,4.95,-1.0,19.7,27.4,1.31,62.28,8.32,132.3,213.0,1.0,3.1
214,22,5.79,-1.1,72.3,28.3,1.31,14.09,11.1,99.3,190.0,0.8,0.94
215,12,6.98,-1.09,40.4,30.6,1.31,8.27,24.03,50.64,98.0,0.3,0.41
216,18,4.9,-1.0,102.7,17.4,1.31,32.81,8.32,149.3,233.0,0.8,1.59
217,22,5.69,-1.09,42.3,28.3,1.31,26.99,5.55,109.3,150.0,0.8,1.96
218,26,6.89,-0.8,15.6,23.9,1.33,17.11,11.1,75.01,271.3,0.7,1.04
219,26,5.09,-0.76,16.4,26.8,1.33,29.93,11.1,157.7,241.5,0.7,2.1
220,21,5.5,-1.14,21.1,19.1,1.33,16.62,8.32,60.47,240.0,0.7,1.17
221,26,6.59,-0.73,14.4,27.8,1.33,16.75,8.32,103.5,199.0,0.7,1.59
222,5,5.07,-0.71,3.8,26.1,1.35,18.27,10.74,77.33,89.0,0.8,1.17
223,9,8.01,-0.79,2.1,33.7,1.32,152.3,16.22,677.4,19.0,1.0,0.91
224,22,5.74,-1.03,44.0,25.1,1.32,29.75,11.1,177.4,70.0,0.8,1.04
225,15,6.42,-0.9,34.5,24.1,1.3,33.52,11.1,64.75,155.0,1.0,1.17
226,21,7.12,-0.71,34.1,15.2,1.32,48.27,8.32,16.85,162.0,0.8,1.4
227,16,4.99,-0.6,30.0,18.9,1.33,100.8,5.55,15.57,108.0,1.0,4.15
228,15,7.1,-0.56,34.5,24.1,1.38,33.52,11.1,64.75,150.0,1.0,0.94
229,30,5.65,-0.91,36.6,27.7,1.36,13.33,13.87,108.4,190.0,0.7,2.21
230,17,5.84,-0.95,56.0,27.7,1.32,30.44,12.93,343.3,235.0,0.8,0.79
231,42,7.26,-0.47,7.2,22.9,1.31,94.59,55.39,958.9,98.0,0.7,0.81
232,42,6.3,-0.49,6.3,31.5,1.31,125.4,45.37,590.4,109.0,0.7,8.13
233,42,6.58,-0.49,4.9,33.3,1.31,107.0,43.7,498.0,107.0,0.7,7.7
234,42,7.09,-0.49,7.1,16.8,1.34,90.96,29.65,401.2,138.0,0.7,0.81
235,42,6.81,-0.49,7.3,31.7,1.33,55.66,59.35,905.6,100.0,0.7,1.19
236,42,7.36,-0.49,6.5,22.0,1.36,19.02,41.82,312.7,132.0,0.7,0.41
237,42,6.22,-0.49,8.2,37.2,1.33,19.02,23.17,157.1,103.0,0.7,7.65
238,42,7.52,-0.49,7.7,35.8,1.37,8.17,5.55,281.2,117.0,0.7,1.6
239,29,6.28,-1.57,306.1,21.7,1.31,20.16,5.1,50.36,167.0,0.7,5.33
240,22,5.08,-1.53,20.1,27.7,1.31,21.17,0.99,25.27,149.0,0.8,10.41
241,50,6.81,-0.76,41.5,24.7,1.3,11.7,91.12,550.3,72.0,0.7,1.17
242,27,5.98,-0.7,51.3,29.7,1.31,146.2,104.1,59.98,41.0,0.7,4.75
243,23,8.02,-0.96,46.9,25.7,1.3,117.0,39.05,148.5,169.0,0.8,3.18
244,27,6.91,-0.85,14.6,25.1,1.27,117.0,65.09,43.23,89.0,0.7,0.81
245,20,6.5,-0.79,21.5,25.6,1.29,204.8,78.1,227.4,69.0,0.7,1.17
246,23,6.99,-1.0,45.7,30.1,1.26,146.2,169.2,115.0,125.0,0.8,13.44
247,33,5.1,-0.66,20.8,25.1,1.25,14.25,5.21,69.54,151.0,0.7,3.3
248,17,5.84,-0.95,56.0,27.7,1.32,30.44,12.93,343.3,235.0,0.8,0.79
249,50,6.91,-0.77,42.0,24.8,1.3,21.7,91.12,385.8,75.0,0.7,1.17
250,27,6.94,-0.84,13.3,24.8,1.26,0.99,0.99,0.99,91.0,0.7,0.79
251,21,7.41,-0.57,13.9,27.3,1.28,11.7,6.51,64.76,53.0,0.7,1.57
252,33,5.3,-0.69,31.7,18.8,1.24,23.45,6.51,177.2,117.0,0.7,2.79
253,33,5.42,-0.69,29.5,25.7,1.25,11.7,6.51,19.32,134.0,0.7,1.78
254,33,5.04,-0.7,143.8,19.3,1.3,14.25,5.21,21.71,2.1,0.7,1.78
255,33,6.24,-0.71,36.3,19.2,1.26,46.25,5.21,138.9,48.0,0.7,1.14
256,33,4.56,-0.62,116.2,18.0,1.22,37.75,6.51,0.99,260.0,0.7,2.36
257,33,4.96,-0.62,169.2,17.4,1.22,30.75,6.51,9.75,255.0,0.7,2.36
258,19,6.41,-0.85,7.2,34.4,1.33,351.0,78.1,16.92,119.0,0.7,0.79
